mx_message_id,path,parent_path,xml_tag,type,min_occurs,max_occurs,is_attribute,choice_group
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/IntrmyAgt1/FinInstnId/Nm,Document/FICdtTrf/CdtTrfTxInf/IntrmyAgt1/FinInstnId,Nm,Max140Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/IntrmyAgt1/FinInstnId/PstlAdr/AdrLine,Document/FICdtTrf/CdtTrfTxInf/IntrmyAgt1/FinInstnId/PstlAdr,AdrLine,Max70Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/IntrmyAgt1Acct/Id/IBAN,Document/FICdtTrf/CdtTrfTxInf/IntrmyAgt1Acct/Id,IBAN,IBAN2007Identifier,0,unbounded,False,choice-80
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/IntrmyAgt1Acct/Id/Othr/Id,Document/FICdtTrf/CdtTrfTxInf/IntrmyAgt1Acct/Id/Othr,Id,Max34Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/BICFI,Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId,BICFI,BICFIDec2014Identifier,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/ClrSysMmbId/MmbId,Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/ClrSysMmbId,MmbId,Max35Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/Nm,Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId,Nm,Max140Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/PstlAdr/AdrLine,Document/FICdtTrf/CdtTrfTxInf/CdtrAgt/FinInstnId/PstlAdr,AdrLine,Max70Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/CdtrAgtAcct/Id/IBAN,Document/FICdtTrf/CdtTrfTxInf/CdtrAgtAcct/Id,IBAN,IBAN2007Identifier,0,unbounded,False,choice-124
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/CdtrAgtAcct/Id/Othr/Id,Document/FICdtTrf/CdtTrfTxInf/CdtrAgtAcct/Id/Othr,Id,Max34Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/BICFI,Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId,BICFI,BICFIDec2014Identifier,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/ClrSysMmbId/MmbId,Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/ClrSysMmbId,MmbId,Max35Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/Nm,Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId,Nm,Max140Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/PstlAdr/AdrLine,Document/FICdtTrf/CdtTrfTxInf/Cdtr/FinInstnId/PstlAdr,AdrLine,Max70Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/CdtrAcct/Id/IBAN,Document/FICdtTrf/CdtTrfTxInf/CdtrAcct/Id,IBAN,IBAN2007Identifier,0,unbounded,False,choice-132
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/CdtrAcct/Id/Othr/Id,Document/FICdtTrf/CdtTrfTxInf/CdtrAcct/Id/Othr,Id,Max34Text,0,unbounded,False,
pacs.009.001.08,Document/FICdtTrf/CdtTrfTxInf/InstrForNxtAgt/InstrInf,Document/FICdtTrf/CdtTrfTxInf/InstrForNxtAgt,InstrInf,Max140Text,0,unbounded,False,
