mt_message,mt_occurrence_no,mt_tag,mt_field_name,requiredness,sequence,source_pdf_page,rule_count,target_path_count,worst_evidence_grade,mapping_actions,dfr_statuses,review_status
MT910,1,20,Transaction Reference Number,M,,5,2,2,C,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT910,2,21,Related Reference,M,,5,3,3,D,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT910,3,25a,Account Identification,M,,6,2,2,B,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT910,4,13D,Date/Time Indication,O,,6,1,1,B,TRANSFORM,MATCHED,REVIEW_REQUIRED_CBPR
MT910,5,32A,"Value Date, Currency Code, Amount",M,,7,4,4,B,TRANSFORM,MATCHED,REVIEW_REQUIRED_CBPR
MT910,6,50a,Ordering Customer,O,,7,5,5,B,CONDITIONAL_CANDIDATE,MATCHED|PATH_NOT_MAPPED,REVIEW_REQUIRED_CBPR
MT910,7,52a,Ordering Institution,O,,11,4,4,B,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT910,8,56a,Intermediary,O,,13,4,4,B,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT910,9,72,Sender to Receiver Information,O,,13,1,1,C,CONDITIONAL_CANDIDATE,MATCHED,REVIEW_REQUIRED_CBPR
MT920,1,20,Transaction Reference Number,M,,5,1,1,B,DIRECT_CANDIDATE,DFR_MESSAGE_NOT_IN_SCOPE,REVIEW_REQUIRED_CBPR
MT920,2,12,Message Requested,M,,5,1,1,C,TRANSFORM,DFR_MESSAGE_NOT_IN_SCOPE,REVIEW_REQUIRED_CBPR
MT920,3,25,Account Identification,M,,5,2,2,B,CONDITIONAL_CANDIDATE,DFR_MESSAGE_NOT_IN_SCOPE,REVIEW_REQUIRED_CBPR
MT920,4,34F,Debit/(Debit and Credit) Floor Limit Indicator,O,,6,3,3,B,TRANSFORM,DFR_MESSAGE_NOT_IN_SCOPE,REVIEW_REQUIRED_CBPR
MT920,5,34F,Credit Floor Limit Indicator,O,,6,3,3,B,TRANSFORM,DFR_MESSAGE_NOT_IN_SCOPE,REVIEW_REQUIRED_CBPR
